@relation statistic_data_set

@attribute compression numeric
@attribute entropy numeric
@attribute languageIC numeric
@attribute longestWord numeric
@attribute fileSize numeric
@attribute class {yes,no}

@data
0.456795,5.513704,0.028305,2708,2708,yes
0.704861,5.49785,0.025036,576,576,yes
0.347818,5.384945,0.034903,10264,10264,yes
0.340064,5.643104,0.023101,30012,30012,yes
0.655039,5.487338,0.024054,516,516,yes
0.433873,5.430863,0.029722,2964,2964,yes
0.502864,5.580663,0.025589,4888,4888,yes
0.371343,5.646336,0.022818,16268,16268,yes
0.976563,5.178799,0.025468,128,128,yes
0.508377,5.63185,0.02267,3820,3820,yes
0.574013,5.50087,0.0264,1216,1216,yes
0.312379,5.403015,0.031873,8272,8272,yes
0.576923,5.515362,0.024839,728,728,yes
0.338512,5.449981,0.029994,7852,7852,yes
0.336538,5.564318,0.027796,7592,7592,yes
0.316396,5.520337,0.029372,7380,7380,yes
0.327135,5.429316,0.031144,8336,8336,yes
0.768293,5.582762,0.022171,492,492,yes
0.412757,5.143723,0.045528,1364,1364,yes
0.320693,5.392879,0.03229,6988,6988,yes
0.673387,5.501897,0.024932,744,744,yes
0.22279,5.558085,0.025522,34032,34032,yes
0.328125,5.493548,0.03016,5376,5376,yes
0.428944,5.462517,0.02938,3448,3448,yes
0.630787,5.595775,0.023344,864,864,yes
0.379707,5.36959,0.03516,10516,10516,yes
0.399827,5.345502,0.034875,4632,4632,yes
0.354082,5.61463,0.024033,19600,19600,yes
0.8375,5.537012,0.020397,240,240,yes
0.452851,5.453659,0.028474,1824,1824,yes
0.421371,5.479557,0.028,2480,2480,yes
0.233062,5.573997,0.027213,40028,40028,yes
0.683616,5.549415,0.024033,708,708,yes
0.283454,5.546971,0.029074,22180,22180,yes
0.726994,5.643742,0.021062,652,652,yes
0.40625,5.678768,0.022106,14528,14528,yes
0.9,5.20776,0.026258,160,160,yes
0.116318,5.384425,0.035002,130436,130436,yes
0.225862,5.366323,0.037815,97728,97728,yes
0.293827,5.500952,0.028291,3240,3240,yes
0.625,5.461963,0.027101,912,912,yes
0.301849,5.680007,0.021761,12112,12112,yes
0.388851,5.420039,0.030207,2960,2960,yes
0.450023,5.643713,0.022768,8644,8644,yes
0.444954,5.333788,0.035534,1744,1744,yes
0.277326,5.598588,0.024138,50136,50136,yes
0.585366,5.532895,0.027462,1476,1476,yes
0.528571,5.490455,0.027689,1680,1680,yes
0.341654,5.680527,0.022134,20632,20632,yes
0.699115,5.548508,0.022457,452,452,yes
0.55897,5.485323,0.028368,1204,1204,yes
0.546875,5.551599,0.026171,1472,1472,yes
0.598456,5.448241,0.02774,1036,1036,yes
0.623941,5.628985,0.022335,944,944,yes
0.4093,5.655561,0.022514,7828,7828,yes
0.364529,5.456148,0.031239,9168,9168,yes
0.869231,5.587071,0.020671,260,260,yes
0.100052,5.476133,0.029731,130172,130172,yes
0.290435,5.336383,0.039379,10288,10288,yes
0.427526,5.688789,0.022155,18448,18448,yes
0.29392,5.237266,0.041095,10724,10724,yes
0.065672,5.521631,0.027511,532404,532404,yes
0.159377,5.439802,0.030108,15592,15592,yes
0.64497,5.467115,0.026912,676,676,yes
0.516779,5.537689,0.022932,596,596,yes
0.303111,5.38519,0.032446,7908,7908,yes
0.451551,5.63941,0.022721,8896,8896,yes
0.693103,5.540718,0.023411,580,580,yes
0.644231,5.627334,0.021849,832,832,yes
0.404225,5.108031,0.044435,1420,1420,yes
0.211848,5.650964,0.022772,26552,26552,yes
0.916667,5.462171,0.020174,180,180,yes
0.493243,5.514103,0.026857,1332,1332,yes
0.429375,5.410537,0.033162,3200,3200,yes
0.361007,5.467568,0.031889,6432,6432,yes
0.362568,5.405875,0.031645,3660,3660,yes
0.320788,5.253724,0.042233,25428,25428,yes
0.364423,5.466904,0.029936,12244,12244,yes
0.497375,5.4535,0.028114,1524,1524,yes
0.663669,5.554143,0.02271,556,556,yes
0.479762,5.486575,0.024232,840,840,yes
0.379002,5.347646,0.03569,7496,7496,yes
0.100188,5.673037,0.021839,146924,146924,yes
0.429121,5.481083,0.027422,1820,1820,yes
0.353553,5.387411,0.031888,2308,2308,yes
0.444782,5.660984,0.022469,8240,8240,yes
0.11897,5.64045,0.022789,756512,756512,yes
0.583333,5.609134,0.022231,888,888,yes
0.272901,5.433339,0.031137,13056,13056,yes
0.690217,5.568491,0.022462,552,552,yes
0.477315,5.41363,0.03175,2160,2160,yes
0.670872,5.575747,0.023228,872,872,yes
0.288404,5.395894,0.033051,14764,14764,yes
0.678571,5.495294,0.024952,868,868,yes
0.707672,5.540939,0.023473,756,756,yes
0.5,5.442881,0.028413,2664,2664,yes
0.280294,5.645508,0.023386,54896,54896,yes
0.216472,5.33736,0.039158,77964,77964,yes
0.433428,5.187306,0.04368,1412,1412,yes
0.492876,5.659411,0.021968,3088,3088,yes
0.437119,5.669097,0.021822,5900,5900,yes
0.516756,5.598044,0.023562,1492,1492,yes
0.639388,5.674895,0.0218,1112,1112,yes
0.296901,5.452615,0.032618,7164,7164,yes
0.570789,5.444485,0.027816,1116,1116,yes
0.383351,5.463118,0.029793,3712,3712,yes
0.429908,5.71243,0.021271,4808,4808,yes
0.242423,5.651031,0.022321,19532,19532,yes
0.29547,5.679778,0.021685,11788,11788,yes
0.62451,5.511634,0.025496,1020,1020,yes
0.413089,5.529047,0.02669,2888,2888,yes
0.645221,5.65423,0.021663,1088,1088,yes
0.254334,5.446613,0.029823,5768,5768,yes
0.457589,5.672792,0.021695,4032,4032,yes
0.391538,5.462091,0.029053,3356,3356,yes
0.443462,5.44451,0.030379,2600,2600,yes
0.164508,5.365841,0.035243,58520,58520,yes
0.360459,5.432462,0.031367,3576,3576,yes
0.359959,5.423174,0.030422,3856,3856,yes
0.523265,5.551574,0.026258,2536,2536,yes
0.457393,5.490903,0.027072,1596,1596,yes
0.395547,5.30004,0.037977,4940,4940,yes
0.452233,5.650157,0.022788,7704,7704,yes
0.556144,5.648901,0.022153,1888,1888,yes
0.276299,5.368712,0.033725,9468,9468,yes
0.417208,5.362843,0.034851,4928,4928,yes
0.510378,5.720563,0.020646,4336,4336,yes
0.658333,5.623287,0.022652,840,840,yes
0.72007,5.502284,0.024747,568,568,yes
